Article,Fig,X_axis_label,Rate,Pyruvate,NADH,Lactate,NAD,Raw_X_axis,Raw_Y_axis,Raw_Vmax
Zewe_JBC_1962,Fig3,Pyruvate,0.343756934,0.000184047,1.05E-05,0.00E+00,0,5.433393744,3.398792184,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.311312194,0.000140609,1.05E-05,0.00E+00,0,7.111929769,3.753011938,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.539264782,0.000748051,1.40E-05,0.00E+00,0,1.336807984,2.166576455,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.472618848,0.000415453,1.40E-05,0.00E+00,0,2.407011537,2.472094339,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.461696708,0.000321799,1.40E-05,0.00E+00,0,3.107526653,2.530575507,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.399637208,0.000184121,1.40E-05,0.00E+00,0,5.43120435,2.923547549,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.340014017,0.000141003,1.40E-05,0.00E+00,0,7.092042766,3.436206509,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.659888434,0.000749073,2.10E-05,0.00E+00,0,1.334983488,1.77053926,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.612406758,0.00042569,2.10E-05,0.00E+00,0,2.349129411,1.907814315,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.585364665,0.000323977,2.10E-05,0.00E+00,0,3.086636177,1.99594962,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.487069752,0.000182961,2.10E-05,0.00E+00,0,5.465641706,2.398749612,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.422871029,0.000140699,2.10E-05,0.00E+00,0,7.10736853,2.76291895,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.757288595,0.000749662,3.50E-05,0.00E+00,0,1.333934403,1.542817873,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.69542302,0.000422564,3.50E-05,0.00E+00,0,2.366507733,1.680068601,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.653424397,0.000326025,3.50E-05,0.00E+00,0,3.067250911,1.788054419,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.538165031,0.000182381,3.50E-05,0.00E+00,0,5.483020027,2.171003898,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.45728758,0.000140354,3.50E-05,0.00E+00,0,7.124838076,2.554975096,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.837965629,0.000739821,4.70E-05,0.00E+00,0,1.351677624,1.394279598,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.844804841,0.000416321,4.70E-05,0.00E+00,0,2.401994174,1.382992051,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.708356686,0.00032222,4.70E-05,0.00E+00,0,3.10346715,1.649392747,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.586286454,0.000183024,4.70E-05,0.00E+00,0,5.463771597,1.992811487,1.16835838
Zewe_JBC_1962,Fig3,Pyruvate,0.48750977,0.000140732,4.70E-05,0.00E+00,0,7.105680871,2.396584544,1.16835838
Zewe_JBC_1962,Fig4,NADH,0.513865462,1.38E-04,4.56081E-05,0.00E+00,0,21.92592593,2.47146402,1.27
Zewe_JBC_1962,Fig4,NADH,0.488368321,1.38E-04,3.59043E-05,0.00E+00,0,27.85185185,2.600496278,1.27
Zewe_JBC_1962,Fig4,NADH,0.447386364,1.38E-04,2.05793E-05,0.00E+00,0,48.59259259,2.838709677,1.27
Zewe_JBC_1962,Fig4,NADH,0.375227273,1.38E-04,1.40625E-05,0.00E+00,0,71.11111111,3.384615385,1.27
Zewe_JBC_1962,Fig4,NADH,0.341206667,1.38E-04,1.04167E-05,0.00E+00,0,96,3.722084367,1.27
Zewe_JBC_1962,Fig4,NADH,0.561195175,1.84E-04,0.000045,0.00E+00,0,22.22222222,2.263027295,1.27
Zewe_JBC_1962,Fig4,NADH,0.518026316,1.84E-04,3.55263E-05,0.00E+00,0,28.14814815,2.451612903,1.27
Zewe_JBC_1962,Fig4,NADH,0.499814453,1.84E-04,2.07055E-05,0.00E+00,0,48.2962963,2.540942928,1.27
Zewe_JBC_1962,Fig4,NADH,0.44895614,1.84E-04,1.40041E-05,0.00E+00,0,71.40740741,2.828784119,1.27
Zewe_JBC_1962,Fig4,NADH,0.396137771,1.84E-04,1.03846E-05,0.00E+00,0,96.2962963,3.205955335,1.27
Zewe_JBC_1962,Fig4,NADH,0.710847222,3.22E-04,0.000045,0.00E+00,0,22.22222222,1.786600496,1.27
Zewe_JBC_1962,Fig4,NADH,0.662966321,3.22E-04,3.55263E-05,0.00E+00,0,28.14814815,1.915632754,1.27
Zewe_JBC_1962,Fig4,NADH,0.621128641,3.22E-04,2.07055E-05,0.00E+00,0,48.2962963,2.044665012,1.27
Zewe_JBC_1962,Fig4,NADH,0.544478723,3.22E-04,1.3832E-05,0.00E+00,0,72.2962963,2.332506203,1.27
Zewe_JBC_1962,Fig4,NADH,0.466979927,3.22E-04,1.04167E-05,0.00E+00,0,96,2.719602978,1.27
Zewe_JBC_1962,Fig4,NADH,0.794736025,4.60E-04,4.32692E-05,0.00E+00,0,23.11111111,1.598014888,1.27
Zewe_JBC_1962,Fig4,NADH,0.739609827,4.60E-04,3.51563E-05,0.00E+00,0,28.44444444,1.717121588,1.27
Zewe_JBC_1962,Fig4,NADH,0.70691989,4.60E-04,2.07055E-05,0.00E+00,0,48.2962963,1.796526055,1.27
Zewe_JBC_1962,Fig4,NADH,0.589642857,4.60E-04,1.38889E-05,0.00E+00,0,72,2.153846154,1.27
Zewe_JBC_1962,Fig4,NADH,0.522255102,4.60E-04,1.04814E-05,0.00E+00,0,95.40740741,2.431761787,1.27
Zewe_JBC_1962,Fig4,NADH,0.876386986,7.35E-04,4.38312E-05,0.00E+00,0,22.81481481,1.449131514,1.27
Zewe_JBC_1962,Fig4,NADH,0.888559028,7.35E-04,3.44388E-05,0.00E+00,0,29.03703704,1.429280397,1.27
Zewe_JBC_1962,Fig4,NADH,0.761622024,7.35E-04,2.05793E-05,0.00E+00,0,48.59259259,1.667493797,1.27
Zewe_JBC_1962,Fig4,NADH,0.649505076,7.35E-04,1.3832E-05,0.00E+00,0,72.2962963,1.955334988,1.27
Zewe_JBC_1962,Fig4,NADH,0.576362613,7.35E-04,1.04489E-05,0.00E+00,0,95.7037037,2.203473945,1.27
Zewe_JBC_1962,Fig7,Lactate,-0.212323306,7.65E-05,0,0.006433676,1.46E-03,1.554321349,1.82110494,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.126095099,7.65E-05,0,0.003814931,1.46E-03,2.621279699,3.066439732,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.104571663,7.65E-05,0,0.002842703,1.46E-03,3.517779182,3.697588896,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.071083606,7.65E-05,0,0.00190699,1.46E-03,5.243866945,5.439552668,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.054965986,7.65E-05,0,0.001445624,1.46E-03,6.917426521,7.034587133,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.244552058,6.10E-05,0,0.006431803,1.46E-03,1.554773961,1.581107203,0.386663021
